Löpnummer,Tid(ns)
1,5649700
2,1076600
3,1027300
4,1258900
5,1013500
6,998600
7,1031800
8,1050200
9,1100000
10,1136900
11,1046500
12,1079800
13,1033600
14,1036100
15,1026800
16,1181500
17,1025600
18,1100400
19,1145900
20,1105800
21,965500
22,998200
23,923700
24,839600
25,846400
26,837000
27,837900
28,836000
29,853300
30,1087500
31,866900
32,849300
33,723800
34,719400
35,749600
36,716400
37,713500
38,715100
39,718200
40,755200
41,751600
42,731900
43,720400
44,729200
45,726000
46,738600
47,996600
48,728300
49,740900
50,766600
51,734700
52,726100
53,808200
54,786100
55,808500
56,816000
57,1057100
58,1067600
59,844600
60,932900
61,804500
62,810100
63,842100
64,726200
65,751900
66,723400
67,722100
68,721700
69,729600
70,730300
71,725000
72,719900
73,721200
74,738200
75,720100
76,729600
77,721400
78,728000
79,723300
80,723700
81,722200
82,1418900
83,1366000
84,723800
85,731600
86,716300
87,730700
88,724300
89,735300
90,727100
91,736000
92,731500
93,737600
94,1119900
95,871000
96,3341700
97,658700
98,683500
99,708100
100,931800
101,663800
102,998300
103,651700
104,636500
105,645900
106,636000
107,647700
108,636200
109,638800
110,650400
111,751000
112,733600
113,652900
114,665000
115,766700
116,785300
117,643200
118,650600
119,642200
120,635900
121,640800
122,686800
123,637500
124,641500
125,635400
126,633400
127,655300
128,639900
129,634900
130,635900
131,645700
132,634600
133,1497800
134,699700
135,639200
136,636200
137,642700
138,634600
139,638800
140,634000
141,637200
142,643200
143,635900
144,723500
145,687600
146,636500
147,634400
148,642200
149,634800
150,652100
151,634000
152,632400
153,635700
154,634900
155,632700
156,638100
157,641500
158,634300
159,636300
160,733200
161,713000
162,655800
163,646500
164,683800
165,635900
166,700600
167,647100
168,633000
169,1473000
170,674100
171,639700
172,650500
173,635300
174,634300
175,641700
176,640800
177,636500
178,639700
179,634100
180,864600
181,1093800
182,641000
183,649900
184,633300
185,638400
186,640600
187,632200
188,635000
189,637500
190,632500
191,787800
192,1140800
193,642600
194,688800
195,635100
196,638600
197,639300
198,680800
199,732200
200,653300
201,635900
202,666900
203,646900
204,633900
205,725900
206,687500
207,687700
208,686600
209,690400
210,689900
211,704200
212,699900
213,694000
214,706200
215,832100
216,740500
217,702300
218,697700
219,698700
220,692700
221,690800
222,699600
223,699200
224,702100
225,694600
226,768900
227,1049300
228,873800
229,746200
230,708600
231,693100
232,694500
233,704900
234,697100
235,700800
236,700800
237,862900
238,797200
239,749900
240,704900
241,718200
242,704300
243,698200
244,741600
245,707700
246,692100
247,688400
248,699900
249,2701800
250,704100
251,638000
252,637000
253,634900
254,633100
255,643800
256,636300
257,690400
258,655900
259,636300
260,633700
261,642300
262,638700
263,638000
264,639900
265,640200
266,644000
267,640800
268,793900
269,852200
270,639800
271,658200
272,691600
273,635600
274,639400
275,637200
276,634900
277,648100
278,645200
279,634600
280,643800
281,636300
282,730200
283,706200
284,643500
285,639200
286,636700
287,636500
288,648000
289,637000
290,636200
291,635300
292,664100
293,638300
294,656900
295,680500
296,649100
297,633000
298,641300
299,652300
300,633500
301,637500
302,634500
303,637800
304,643300
305,653000
306,661800
307,686300
308,634700
309,645200
310,643600
311,633200
312,645300
313,638100
314,635800
315,646200
316,680300
317,634800
318,637800
319,646900
320,645000
321,635500
322,710800
323,647600
324,635500
325,635800
326,655000
327,668800
328,641900
329,642300
330,638200
331,637100
332,927000
333,686500
334,639200
335,639400
336,638300
337,636200
338,666400
339,691000
340,1037600
341,762800
