Löpnummer,Tid(ns)
1,6896300
2,1642000
3,1525200
4,1480600
5,1528600
6,1492600
7,1513900
8,993000
9,1350500
10,1225300
11,747900
12,772100
13,764200
14,771900
15,757600
16,769400
17,787700
18,788200
19,786600
20,780800
21,770200
22,774200
23,800300
24,784100
25,1858400
26,808600
27,783400
28,772000
29,776700
30,795600
31,756200
32,777000
33,779700
34,791000
35,768200
36,816500
37,773500
38,770300
39,784000
40,1079800
41,860600
42,766000
43,780700
44,784800
45,828200
46,776400
47,775000
48,790300
49,812100
50,833100
51,774200
52,851200
53,798400
54,793800
55,1145000
56,1211200
57,795200
58,782900
59,824400
60,837800
61,828800
62,833400
63,861600
64,792200
65,796500
66,804100
67,808700
68,790900
69,773900
70,778600
71,771700
72,1805900
73,792200
74,813700
75,782700
76,789400
77,800100
78,790900
79,779400
80,785500
81,802700
82,820100
83,793000
84,824100
85,836200
86,801200
87,794600
88,1596000
89,945000
90,772200
91,775800
92,792300
93,795200
94,808700
95,787500
96,4628000
97,787300
98,801800
99,780900
100,753400
101,1099600
102,1075300
103,665900
104,648300
105,654100
106,639900
107,667400
108,644700
109,639000
110,647700
111,641400
112,643300
113,643300
114,639800
115,641700
116,642100
117,642300
118,651900
119,677500
120,649100
121,645100
122,642700
123,797600
124,663300
125,648000
126,644300
127,654600
128,657100
129,644100
130,644300
131,655700
132,645200
133,646900
134,652200
135,643600
136,643400
137,651000
138,643000
139,657200
140,648000
141,644100
142,651500
143,645000
144,643600
145,646400
146,643900
147,644700
148,647800
149,644000
150,945500
151,763800
152,647700
153,649900
154,643100
155,646000
156,645200
157,644700
158,644300
159,648700
160,645000
161,658200
162,643100
163,642500
164,649100
165,643500
166,646700
167,648700
168,642600
169,648800
170,648400
171,643200
172,656100
173,647300
174,642700
175,648600
176,660400
177,642400
178,647600
179,646300
180,645700
181,647200
182,644400
183,654200
184,645100
185,645500
186,646900
187,647100
188,650900
189,662000
190,1113000
191,1018200
192,643600
193,649100
194,667200
195,645000
196,645500
197,647700
198,642000
199,645600
200,644000
201,645000
202,647800
203,646400
204,644600
205,670100
206,745600
207,735300
208,738500
209,738600
210,736500
211,736500
212,1354100
213,1252100
214,881800
215,753700
216,746400
217,743600
218,743200
219,732700
220,737000
221,739600
222,742500
223,771900
224,739800
225,736000
226,736500
227,746200
228,768000
229,758800
230,736000
231,1091200
232,1288400
233,1094700
234,769900
235,745800
236,774700
237,764300
238,739300
239,753400
240,761300
241,767600
242,783700
243,764800
244,768000
245,754000
246,775800
247,753600
248,750000
249,740200
250,3400100
251,650000
252,642300
253,643200
254,642300
255,646100
256,647800
257,650500
258,642300
259,765000
260,659600
261,666200
262,645900
263,644200
264,646300
265,763500
266,653000
267,647100
268,645900
269,750100
270,792100
271,643000
272,681100
273,651200
274,656500
275,797700
276,647600
277,646900
278,640400
279,648000
280,663000
281,643000
282,647100
283,662300
284,761200
285,748500
286,647900
287,642900
288,644400
289,653500
290,659400
291,645400
292,844700
293,1326400
294,811500
295,643700
296,639600
297,644600
298,643100
299,643000
300,652200
301,643500
302,643100
303,643000
304,643300
305,655700
306,643700
307,648600
308,643700
309,644100
310,644300
311,648700
312,653400
313,657100
314,644300
315,948500
316,1169300
317,861700
318,655700
319,646700
320,649800
321,648600
322,660700
323,638700
324,651300
325,649700
326,641200
327,647400
328,645400
329,641100
330,645300
331,649300
332,639500
333,644400
334,639600
335,647600
336,657100
337,639000
338,675900
339,649900
340,639400
341,653100
342,646900
343,640500
344,652600
345,647000
346,640100
347,642800
348,643000
349,640100
350,653900
351,642500
352,640900
353,643100
354,642800
355,643100
356,651700
357,645900
358,640900
359,645600
360,830100
361,1167000
362,954400
363,645400
364,646000
365,646800
366,645500
367,753500
368,758000
369,743400
370,747400
371,751500
372,687400
373,643700
374,641600
375,644000
376,644700
377,650200
378,662100
379,659200
380,642100
381,648200
382,887700
383,1173100
384,663800
385,657200
386,645700
387,671300
388,664800
389,650400
390,646800
391,645800
392,643400
393,648000
394,355600
395,270900
396,243400
397,240300
398,233600
399,235500
400,236000
401,227600
402,226500
403,237400
404,228400
405,233900
406,224000
407,224600
408,222400
409,222700
410,221900
411,223200
412,224700
413,222400
414,221900
415,223100
416,257500
417,314200
418,308400
419,315100
420,303600
421,306400
422,399800
423,696400
424,379100
425,474900
426,383700
427,380200
428,347100
429,339800
430,326600
431,323400
432,327700
433,333700
434,335100
435,326100
436,321800
437,330000
438,330800
439,328000
440,322100
441,320900
442,318500
443,320800
444,321000
445,321200
446,316400
447,306100
448,311900
449,317100
450,322600
451,317400
452,313800
453,305700
454,358100
455,316400
456,313700
457,317000
458,307300
459,309100
460,318200
461,326600
462,315000
463,327100
464,526500
465,586100
466,575600
467,469800
468,326500
469,318100
470,316600
471,321100
472,343000
473,316800
474,315700
475,311200
476,314900
477,310700
478,319500
479,316300
480,300000
481,306800
482,314800
483,325100
484,310300
485,308900
486,300300
487,307400
488,315100
489,310400
490,307100
491,308400
492,302400
493,308900
494,320200
495,308400
496,307400
497,301500
498,305000
499,303300
500,310900
501,308700
502,307400
503,309200
504,307400
505,315300
506,306700
507,314100
508,304800
509,385100
510,322300
511,329200
512,698000
513,359400
514,332600
515,333600
516,365400
517,324300
518,322100
519,317700
520,317900
521,327800
522,317600
523,308200
524,304300
525,306300
526,304400
527,322900
528,313500
529,307700
530,305000
531,310300
532,311300
533,316300
534,303100
535,308300
536,309900
537,310300
538,317100
539,303500
540,303700
541,349500
542,303800
543,304400
544,312200
545,306600
546,304600
547,304200
548,305900
549,301800
550,302700
551,305500
552,300700
553,303100
554,302400
555,312100
556,310900
557,306800
558,300600
559,305500
560,302200
561,320500
562,311900
563,309700
564,304300
565,303100
566,306200
567,301200
568,300700
569,307900
570,303200
571,300600
572,323500
573,307500
574,308700
575,306900
576,303600
577,313100
578,318700
579,307500
580,307300
581,307500
582,311300
583,337100
584,310500
585,307800
586,305000
587,310300
588,321500
589,345200
590,309600
591,310000
592,308300
593,325700
594,333200
595,297100
596,300900
597,298300
598,299200
599,311300
600,300600
