Löpnummer,Tid(mikrosekunder)
1,25124
2,21732
3,19495
4,18410
5,20331
6,20559
7,21152
8,20701
9,19157
10,20395
11,21606
12,19587
13,17843
14,17688
15,18241
16,18434
17,18431
18,17558
19,18720
20,17663
21,19767
22,19566
23,19109
24,18832
25,17934
26,18253
27,19281
28,19954
29,18642
30,18535
31,17884
32,18336
33,18530
34,17534
35,18965
36,17803
37,18606
38,18668
39,18343
40,19583
41,20266
42,20728
43,20742
44,18998
45,19381
46,19462
47,19265
48,20086
49,19524
50,19574
51,18980
52,20165
53,19502
54,20865
55,26743
56,20549
57,21641
58,20849
59,21485
60,23526
61,20983
62,21224
63,23035
64,21528
65,19703
66,19656
67,26827
68,20307
69,20174
70,18862
71,19108
72,23260
73,29018
74,33748
75,37187
76,24305
77,22002
78,20747
79,19167
80,19340
81,19867
82,19604
83,19139
84,18964
85,19381
86,19058
87,19479
88,19320
89,19516
90,20421
91,19463
92,20187
93,20188
94,20133
95,20173
96,20677
97,19145
98,19166
99,19726
100,19575
101,19264
102,19195
103,18418
104,20095
105,19839
106,18748
107,19230
108,18611
109,19340
110,19718
111,19687
112,21468
113,22708
114,24192
115,22828
116,22549
117,21751
118,20238
119,19095
120,19712
121,19381
122,19508
123,21185
124,18641
125,19151
126,18120
127,20357
128,19174
129,19277
130,19375
131,18687
132,19261
133,19790
134,19340
135,19156
136,18311
137,19137
138,19736
139,20087
140,20239
141,19223
142,19119
143,19480
144,20525
145,19951
146,19133
147,19350
148,18499
149,18936
150,19588
151,19232
152,19055
153,17899
154,18473
155,18953
156,19445
157,18723
158,19204
159,18788
160,19307
161,18842
162,18230
163,18886
164,18734
165,20233
166,19089
167,19213
168,18960
169,18646
170,19455
171,20135
172,19470
173,19567
174,19140
175,19865
176,19074
177,19030
178,18608
179,19377
180,19271
181,19031
182,18563
183,18350
184,19860
185,19445
186,19524
187,18269
188,18774
189,19179
190,19356
191,19509
192,19992
193,20064
194,19230
195,20581
196,21363
197,19120
198,19424
199,19941
200,19289
201,18920
202,18462
203,19123
204,18544
205,18351
206,19268
207,18682
208,18835
209,19388
210,18696
211,18879
212,19074
213,19031
214,18549
215,19012
216,18407
217,20125
218,19240
219,20130
220,19906
221,18269
222,19286
223,19568
224,20209
225,19593
226,18637
227,18927
228,18877
229,19428
230,18847
231,19966
232,18786
233,21981
234,26195
235,27081
236,26714
237,25665
238,22715
239,19319
240,18869
241,19225
242,19791
243,19534
244,20064
245,21135
246,21532
247,24621
248,20059
249,19562
250,18596
251,19562
252,19201
253,18153
254,18649
255,18850
256,18836
257,18354
258,19564
259,18446
260,18296
261,18708
262,18813
263,19720
264,18963
265,19830
266,19309
267,19416
268,20218
269,18604
270,18980
271,18851
272,19182
273,19101
274,21777
275,19964
276,19991
277,19699
278,20397
279,18689
280,19328
281,19290
282,19293
283,18671
284,19209
285,18701
286,19316
287,19212
288,19134
289,18795
290,18963
291,19392
292,19370
293,19630
294,20673
295,18851
296,20768
297,20623
298,20140
299,19483
300,19795
301,19388
302,18359
303,18903
304,18880
305,18953
306,21056
307,18355
308,18958
309,19946
310,18350
311,19290
312,19190
313,19232
314,18677
315,19316
316,18724
317,17881
318,19617
319,19261
320,19761
321,18406
322,19880
323,19951
324,19410
325,19665
326,18930
327,19420
328,19639
329,20083
330,20626
331,19565
332,20270
333,19849
334,19344
335,19694
336,18937
337,20001
338,19059
339,19181
340,19270
341,18315
342,19041
343,18840
344,22241
345,22274
346,20698
347,22043
